sample_id,source_doi,alloy,alloy_family,base_element,AM_process,AM_subprocess,machine,laser_power_W,scan_speed_mm_s,hatch_spacing_um,layer_thickness_um,beam_diameter_um,build_orientation,specimen_orientation,heat_treatment,density_g_cm3,melting_temp_C,thermal_conductivity_W_mK,specific_heat_J_kgK,CTE_1e6_K,relative_density_percent,porosity_percent,grain_size_um,grain_morphology,texture_intensity_MRD,matrix_phase,secondary_phases,microstructure_notes,yield_strength_MPa,UTS_MPa,elongation_percent,hardness_HV,elastic_modulus_GPa,surface_roughness_Ra_um,quality_score
demo_0001,demo_synthetic_literature_style,Maraging Steel M300,maraging steel,Fe,PBF,E-PBF,Concept Laser M2,2002.7,1428.86,183.03,50.0,120,45deg,horizontal,as-built,8.1,1413,14.2,452,10.3,98.215,1.681,15.267,equiaxed,1.88,martensite,Ni-Ti-Mo precipitates after aging,martensitic with age hardening,1263.87,1485.9,6.78,429.68,193.89,25.4,A
demo_0002,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,PBF,L-PBF,Optomec LENS,366.83,943.414,83.63,50.0,70,Z,45deg,as-built,2.68,580,160.0,910,20.5,98.971,0.952,19.771,equiaxed,3.45,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,366.02,520.45,4.44,148.63,69.23,9.43,B
demo_0003,demo_synthetic_literature_style,17-4PH,precipitation-hardening steel,Fe,PBF,L-PBF,WAAM lab system,178.39,966.721,72.63,40.0,1000,45deg,vertical,as-built,7.8,1420,16.0,460,10.4,98.794,1.377,11.562,dendritic,2.99,martensite/ferrite,Cu-rich precipitates,martensitic or ferritic-martensitic,903.84,1014.29,10.44,319.78,199.43,6.96,B
demo_0004,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,PBF,L-PBF,EOS M290,188.07,1169.814,96.23,20.0,500,45deg,vertical,aged,2.68,580,160.0,910,20.5,98.976,0.97,14.393,equiaxed,3.62,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,542.42,745.06,5.55,180.57,73.39,12.41,C
demo_0005,demo_synthetic_literature_style,IN718,Ni superalloy,Ni,PBF,E-PBF,SLM 280,2031.23,2061.582,164.62,50.0,120,XZ,vertical,HIP,8.19,1298,11.4,435,13.0,98.809,1.14,12.849,mixed columnar-equiaxed,3.69,gamma,gamma prime/gamma double prime/Laves/delta,cellular-dendritic gamma matrix,1110.08,1270.93,17.32,316.02,203.33,25.98,A
demo_0006,demo_synthetic_literature_style,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,WAAM lab system,286.07,1059.207,88.24,50.0,70,XZ,horizontal,as-built,4.43,1660,7.1,560,8.6,98.502,1.461,19.648,dendritic,3.31,alpha/beta,alpha-prime martensite possible,"prior beta grains, alpha-prime laths",1010.7,1168.88,8.25,303.05,116.49,12.85,C
demo_0007,demo_synthetic_literature_style,AlSi10Mg,Al alloy,Al,PBF,L-PBF,WAAM lab system,318.57,1057.032,117.03,60.0,500,Z,vertical,stress relieved,2.68,580,160.0,910,20.5,98.331,1.706,11.028,mixed columnar-equiaxed,3.14,alpha-Al,Si network/Mg2Si,fine cellular Al-Si network,327.86,437.81,2.33,117.94,67.65,12.07,A
demo_0008,demo_synthetic_literature_style,H13 Tool Steel,tool steel,Fe,DED,L-DED,Arcam Q10,667.54,25.89,756.93,428.61,100,XY,45deg,aged,7.8,1427,28.6,460,10.4,98.612,1.381,33.307,dendritic,1.0,martensite,carbides,martensitic/carbide structure,1241.94,1349.96,6.22,410.62,205.47,22.73,B
demo_0009,demo_synthetic_literature_style,17-4PH,precipitation-hardening steel,Fe,DED,L-DED,Concept Laser M2,1566.09,28.363,973.51,469.62,500,XY,horizontal,as-built,7.8,1420,16.0,460,10.4,98.906,1.018,43.447,dendritic,3.04,martensite/ferrite,Cu-rich precipitates,martensitic or ferritic-martensitic,818.83,985.48,11.74,270.08,197.03,16.32,A
demo_0010,demo_synthetic_literature_style,CoCrMo,Co alloy,Co,PBF,L-PBF,Arcam Q10,347.56,1219.463,95.93,50.0,100,XY,45deg,annealed,8.4,1390,13.0,450,14.0,98.616,1.512,13.064,mixed columnar-equiaxed,2.48,FCC/HCP Co,carbides,cellular/dendritic CoCr,810.05,901.06,9.86,295.28,224.18,14.14,B
