sample_id,source_doi,alloy,alloy_family,base_element,AM_process,AM_subprocess,machine,laser_power_W,scan_speed_mm_s,hatch_spacing_um,layer_thickness_um,beam_diameter_um,build_orientation,specimen_orientation,heat_treatment,density_kg_m3,melting_C,thermal_conductivity_W_mK,specific_heat_J_kgK,cte_1e6_K,relative_density_percent,porosity_percent,grain_size_um,grain_morphology,texture_intensity_MRD,matrix_phase,secondary_phases,microstructure_notes,yield_strength_MPa,UTS_MPa,elongation_percent,hardness_HV,elastic_modulus_GPa,surface_roughness_Ra_um,data_quality_score
demo_0001,demo_literature_style_IN625,IN625,Ni superalloy,Ni,DED,L-DED,Custom Lab System,368.68,20.6,750.73,634.08,1771.39,XY,45deg,HIP,8440,1320,9.2,429,12.8,99.227,0.933,42.59,columnar,2.85,gamma,carbides/Laves possible,cellular dendritic gamma,694.57,854.55,43.19,242.33,201.87,14.36,B
demo_0002,demo_literature_style_Maraging_Steel_M300,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Optomec LENS,392.88,792.05,97.13,20.0,70.5,XZ,horizontal,aged,8100,1413,14.2,452,10.3,92.5,7.543,16.32,cellular,0.8,martensite,Ni/Ti/Mo precipitates after aging,"martensitic, precipitate strengthened after aging",1068.9,1275.42,1.0,369.02,182.21,11.61,A
demo_0003,demo_literature_style_Ti6Al4V_ELI,Ti6Al4V ELI,titanium alloy,Ti,PBF,L-PBF,EOS M400,150.14,1034.37,106.82,60.0,79.1,XY,horizontal,HIP,4420,1650,7.0,526,8.5,97.375,2.605,13.88,mixed columnar-equiaxed,1.87,alpha/beta,alpha prime martensite possible,fine alpha prime in as-built LPBF,989.57,1161.19,15.66,298.71,116.71,16.74,A
demo_0004,demo_literature_style_Maraging_Steel_M300,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Renishaw AM250,257.73,1247.39,94.78,30.0,67.22,XZ,horizontal,as-built,8100,1413,14.2,452,10.3,99.019,1.06,35.1,cellular,2.01,martensite,Ni/Ti/Mo precipitates after aging,"martensitic, precipitate strengthened after aging",1069.68,1233.34,10.5,347.12,199.56,33.71,C
demo_0005,demo_literature_style_Ti6Al4V,Ti6Al4V,titanium alloy,Ti,PBF,L-PBF,Renishaw AM250,324.87,647.82,88.53,60.0,82.3,XY,vertical,aged,4430,1660,7.1,560,8.6,99.594,0.373,25.25,columnar,4.81,alpha/beta,alpha prime martensite possible,"prior beta grains, alpha laths",1017.17,1182.38,10.99,362.36,112.11,17.52,B
demo_0006,demo_literature_style_IN625,IN625,Ni superalloy,Ni,PBF,L-PBF,SLM 280,355.75,1456.2,85.48,20.0,91.0,XZ,horizontal,solution+aged,8440,1320,9.2,429,12.8,95.55,4.522,30.46,columnar,3.57,gamma,carbides/Laves possible,cellular dendritic gamma,623.33,845.29,32.17,218.69,203.13,19.8,C
demo_0007,demo_literature_style_IN625,IN625,Ni superalloy,Ni,PBF,L-PBF,Renishaw AM250,359.03,1245.52,78.83,50.0,85.63,Z,vertical,HIP,8440,1320,9.2,429,12.8,98.016,1.959,22.88,cellular,1.66,gamma,carbides/Laves possible,cellular dendritic gamma,650.59,848.64,33.26,217.86,208.06,12.17,B
demo_0008,demo_literature_style_17-4PH,17-4PH,precipitation-hardening steel,Fe,PBF,L-PBF,Sciaky EBAM,363.99,963.28,105.2,50.0,92.49,XZ,vertical,aged,7800,1420,16.0,460,10.4,98.7,1.408,19.37,mixed columnar-equiaxed,5.44,martensite/ferrite,Cu-rich precipitates,martensitic matrix after aging,1012.57,1159.51,10.7,336.35,206.05,20.14,A
demo_0009,demo_literature_style_17-4PH,17-4PH,precipitation-hardening steel,Fe,PBF,L-PBF,Sciaky EBAM,198.91,1074.56,129.07,30.0,67.9,XZ,vertical,stress relieved,7800,1420,16.0,460,10.4,99.21,0.767,16.27,cellular,1.25,martensite/ferrite,Cu-rich precipitates,martensitic matrix after aging,886.46,1072.85,15.71,319.91,204.32,7.3,A
demo_0010,demo_literature_style_CuCrZr,CuCrZr,copper alloy,Cu,PBF,L-PBF,Trumpf TruPrint,122.46,925.45,73.82,60.0,99.97,XZ,45deg,aged,8900,1085,320.0,380,17.0,96.854,3.156,18.96,mixed columnar-equiaxed,2.33,Cu,Cr/Zr precipitates,Cu matrix with precipitation after aging,351.5,413.02,13.9,118.82,113.99,9.11,B
demo_0011,demo_literature_style_Maraging_Steel_M300,Maraging Steel M300,maraging steel,Fe,PBF,L-PBF,Concept Laser M2,351.1,915.54,81.26,50.0,81.85,XZ,horizontal,HIP,8100,1413,14.2,452,10.3,99.549,0.428,14.28,mixed columnar-equiaxed,3.11,martensite,Ni/Ti/Mo precipitates after aging,"martensitic, precipitate strengthened after aging",1112.02,1310.4,15.99,354.1,182.94,24.86,A
demo_0012,demo_literature_style_316L,316L,stainless steel,Fe,PBF,E-PBF,Sciaky EBAM,1774.44,713.42,137.34,50.0,166.09,XZ,45deg,annealed,7990,1385,16.2,500,16.0,92.5,7.474,40.89,columnar,3.0,austenite,delta ferrite/carbides possible,"cellular austenite, dislocation cells",363.13,480.35,28.17,114.24,194.1,17.09,C
